text,keywords
上课时学生手机响个不停，老师一怒之下把手机摔了，家长拿发票让老师赔，大家怎么看待这种事？,老师 / 手机 / 一怒之下 / 大家 / 发票 / 不停 / 响个 / 上课时
商赢环球股份有限公司关于延期回复上海证券交易所对公司2017年年度报告的事后审核问询函的公告,公告 / 问询 / 审核 / 事后 / 年度报告 / 上海证券交易所 / 环球 / 回复
通过中介公司买了二手房，首付都付了，现在卖家不想卖了。怎么处理？,处理 / 不想 / 卖家 / 现在 / 首付 / 二手房 / 中介 / 通过
2018年去俄罗斯看世界杯得花多少钱？,得花 / 世界杯 / 多少 / 俄罗斯
剃须刀的个性革新，雷明登天猫定制版新品首发,首发 / 新品 / 定制 / 天猫 / 雷明登 / 革新 / 个性 / 剃须刀
再次证明了“无敌是多么寂寞”——逆天的中国乒乓球队！,中国乒乓球队 / 逆天 / 寂寞 / 多么 / 无敌 / 证明 / 再次
三农盾SACC-全球首个推出：互联网+区块链+农产品的电商平台,电商 / sacc / 农产品 / 互联网 / 三农 / 平台 / 区块 / 全球
重做or新英雄？其实重做对暴雪来说同样重要,重做 / 重要 / 来说 / 同样 / 暴雪 / 其实 / 英雄 / or
如何在商业活动中不受人欺骗？,欺骗 / 中不受 / 商业活动 / 如何
87版红楼梦最温柔的四个丫鬟，娶谁都是一生的福气,福气 / 一生 / 丫鬟 / 四个 / 温柔 / 红楼梦
凌云研发的国产两轮电动车怎么样，有什么惊喜？,惊喜 / 怎么样 / 电动车 / 两轮 / 研发 / 国产 / 凌云 / 什么
房地产税迟迟无法出台？央行研究局局长徐忠这样说,这样 / 徐忠 / 局局长 / 研究 / 央行 / 出台 / 无法 / 迟迟
我四千一个月，老婆一千五一个月，存款八万且有两小孩，是先买房还是先买车？,一个月 / 先买 / 还是 / 买房 / 八万 / 小孩 / 存款 / 一千五
“产地办展”模式为“东莞制造”送创新情报,情报 / 制造 / 东莞 / 办展 / 模式 / 产地 / 创新
全国首个央地融合平台在沪落地,落地 / 央地 / 全国 / 融合 / 平台 / 首个
故事：刘主任建猪场,猪场 / 主任 / 故事
什么是人情，什么是世故？,什么 / 世故 / 人情
「关注」网络自媒体不是“法外之地”，以谣博名、以谣博利将被追责,以谣 / 追责 / 博利 / 博名 / 法外 / 不是 / 关注 / 网络
古代先进文明的证据！这是历史上最著名的10把剑,著名 / 历史 / 证据 / 先进 / 这是 / 文明 / 古代
加快产城融合 以科技创新引领新城区建设,新城区 / 引领 / 加快 / 产城 / 科技 / 建设 / 融合 / 创新
取名困难症患者皇马的贝尔，第一个受害者就是他的儿子,儿子 / 就是 / 受害者 / 第一个 / 贝尔 / 皇马 / 患者 / 困难
夫妻间能不能互看手机？,互看 / 不能 / 夫妻间 / 手机
探秘、日本关东特大地震！,特大 / 日本 / 关东 / 探秘 / 地震
上联：千峰入眠松涛静，怎么接下联？,松涛 / 入眠 / 千峰 / 下联 / 上联 / 怎么
如何阻止基拉韦厄活火山的熔岩,熔岩 / 活火山 / 韦厄 / 基拉 / 阻止 / 如何
单硝酸异山梨酯片与硝酸异山梨酯片有何区别？,山梨 / 区别 / 有何 / 硝酸 / 单硝酸
廖英强被证监会处罚1.2亿，你怎么看？,处罚 / 证监会 / 廖英强 / 怎么
女儿高烧不止，我让婆婆给老公打电话回家，通话内容让我吓瘫在地,吓瘫 / 通话 / 婆婆 / 回家 / 打电话 / 老公 / 女儿 / 高烧
上联：春风执笔谁研墨，怎么对下联？,研墨 / 执笔 / 春风 / 下联 / 上联 / 怎么
肥乡区：让文明新风吹进千家万户,千家万户 / 吹进 / 新风 / 肥乡 / 文明
葫芦都能做成什么乐器？,乐器 / 做成 / 葫芦 / 什么
为什么袁大头等银元吹完会有响声？,响声 / 完会 / 银元 / 袁大头 / 为什么
伊朗为什么宁愿接受制裁也不同意修改伊核协议？,协议 / 伊核 / 修改 / 同意 / 制裁 / 接受 / 宁愿 / 伊朗
小白如何做好自媒体的几个信念？,信念 / 做好 / 小白 / 几个 / 媒体 / 如何
街头偶遇2018款长安CS35，颜值美炸！或售6万起，还买宝骏510？,宝骏 / 万起 / 或售 / 美炸 / 颜值 / cs35 / 长安 / 偶遇
学生党买什么笔记本电脑好？,笔记本电脑 / 学生 / 什么
大猩猩对镜头摆造型表情丰富，走红网络收获众多迷妹,迷妹 / 众多 / 收获 / 走红 / 表情丰富 / 造型 / 镜头 / 大猩猩
11日游戏热点回顾：刺激战场：取消恶意伤害队友后，小学生开始用这种方式杀队友了,队友 / 方式 / 小学生 / 伤害 / 恶意 / 回顾 / 取消 / 战场
贵州多彩绚丽的民族风凯莉包 文艺女青年必备,必备 / 青年 / 文艺 / 风凯莉包 / 民族 / 绚丽 / 多彩 / 贵州
去泰国买什么好？,泰国 / 什么
2018中级会计考试每日一练0509,一练 / 每日 / 中级会计 / 考试
抱娃姿势不正确，小心患熊黛林同款“妈妈手”,妈妈 / 同款 / 患熊黛林 / 小心 / 正确 / 姿势 / 抱娃
崩溃！火车站管理员睡过头：上百人眼睁睁看空车驶出,驶出 / 空车 / 眼睁睁 / 上百人 / 过头 / 管理员 / 火车站 / 崩溃
一辆车的寿命到底多长，最多可以开多久？,多久 / 多长 / 到底 / 寿命 / 一辆车
听说最近联通搅乱了北京宽带市场价格，比小运营商的还低？,运营商 / 比小 / 价格 / 市场 / 宽带 / 搅乱 / 最近 / 联通
我的焕驰前减震有异响，过凹凸不平的时候会咣当一声，是什么原因？,原因 / 一声 / 咣当 / 时候 / 凹凸不平 / 异响 / 减震 / 焕驰
如何看待人民日报发文痛批“沉睡中的大学生:你不失业，天理难容！”这件事？,这件 / 天理难容 / 失业 / 大学生 / 沉睡 / 痛批 / 发文 / 人民日报
南京晓庄五年一贯制专转本培训简章 2019年博大五年制专转本辅导,专转本 / 辅导 / 五年制 / 博大 / 简章 / 培训 / 一贯制 / 五年
