label,rank,feature,weight
100,1,故事,0.3921634917893555
100,2,猪场,0.3921634917893555
100,3,主任,0.3921634917893555
100,4,主任 猪场,0.3921634917893555
100,5,故事 主任,0.3921634917893555
100,6,婆婆 老公,0.20383222759431122
100,7,内容 吓瘫,0.20383222759431122
100,8,婆婆,0.20383222759431122
100,9,通话,0.20383222759431122
100,10,通话 内容,0.20383222759431122
100,11,女儿 高烧,0.20383222759431122
100,12,老公,0.20383222759431122
100,13,打电话 回家,0.20383222759431122
100,14,打电话,0.20383222759431122
100,15,高烧 不止,0.20383222759431122
101,1,上联,0.33428381837710397
101,2,怎么 下联,0.33428381837710397
101,3,下联,0.33428381837710397
101,4,山梨,0.3261800719380947
101,5,什么 乐器,0.2657201817540964
101,6,乐器,0.2657201817540964
101,7,葫芦,0.2657201817540964
101,8,做成,0.2657201817540964
101,9,葫芦 做成,0.2657201817540964
101,10,做成 什么,0.2657201817540964
101,11,完会 响声,0.22825155501420336
101,12,响声,0.22825155501420336
101,13,袁大头 银元,0.22825155501420336
101,14,为什么 袁大头,0.22825155501420336
101,15,银元 完会,0.22825155501420336
102,1,世故,0.28201904738038197
102,2,人情 什么,0.28201904738038197
102,3,人情,0.28201904738038197
102,4,什么 人情,0.28201904738038197
102,5,什么 世故,0.28201904738038197
102,6,夫妻间 不能,0.2542115944428846
102,7,夫妻间,0.2542115944428846
102,8,互看 手机,0.2542115944428846
102,9,互看,0.2542115944428846
102,10,不能 互看,0.2542115944428846
102,11,不能,0.2542115944428846
102,12,什么是,0.22538583536679532
102,13,么是,0.22538583536679532
102,14,手机,0.20158963723181528
102,15,独播 俊杰,0.1995583304834753
103,1,中不受,0.32765444444084696
103,2,中不受 欺骗,0.32765444444084696
103,3,欺骗,0.32765444444084696
103,4,商业活动 中不受,0.32765444444084696
103,5,商业活动,0.32765444444084696
103,6,如何 商业活动,0.32765444444084696
103,7,证明 无敌,0.23116114338812466
103,8,再次 证明,0.23116114338812466
103,9,再次,0.23116114338812466
103,10,多么,0.23116114338812466
103,11,寂寞 逆天,0.23116114338812466
103,12,逆天 中国乒乓球队,0.23116114338812466
103,13,多么 寂寞,0.23116114338812466
103,14,无敌 多么,0.23116114338812466
103,15,证明,0.23116114338812466
104,1,证监会 处罚,0.25423167985024914
104,2,证监会,0.25423167985024914
104,3,廖英强,0.25423167985024914
104,4,廖英强 证监会,0.25423167985024914
104,5,处罚 怎么,0.25423167985024914
104,6,处罚,0.25423167985024914
104,7,一练,0.24825991094525784
104,8,中级会计,0.24825991094525784
104,9,考试 每日,0.24825991094525784
104,10,中级会计 考试,0.24825991094525784
104,11,每日 一练,0.24825991094525784
104,12,每日,0.24825991094525784
104,13,以谣,0.24338843279415093
104,14,北京 帝都,0.23073555887951586
104,15,帝都,0.23073555887951586
106,1,公寓 是否,0.27015019123866496
