text,keywords
中超联赛本周末开赛多支球队完成引援,引援 / 完成 / 球队 / 多支 / 开赛 / 周末 / 中超联赛
消费券带动商圈客流回升餐饮零售明显恢复,零售 / 餐饮 / 回升 / 客流 / 带动 / 商圈 / 消费 / 恢复
热门电影上映首周票房突破十亿元,亿元 / 突破 / 票房 / 首周 / 上映 / 电影 / 热门
国产大模型发布多模态理解能力持续增强,增强 / 理解能力 / 模态 / 模型 / 国产
A股三大指数午后拉升新能源板块表现活跃,活跃 / 表现 / 板块 / 新能源 / 拉升 / 午后 / 指数 / 股三大
高校新增人工智能专业培养复合型人才,人才 / 复合型 / 培养 / 人工智能 / 新增 / 专业 / 高校
线上演唱会采用虚拟制作技术提升沉浸感,沉浸 / 技术 / 制作 / 虚拟 / 采用 / 演唱会 / 线上
音乐综艺节目收官原创舞台获得观众好评,好评 / 观众 / 舞台 / 原创 / 收官 / 综艺节目 / 音乐
女篮热身赛大胜对手外线命中率显著提升,显著 / 命中率 / 外线 / 对手 / 大胜 / 热身赛 / 女篮
马拉松赛事恢复报名参赛人数创近年新高,近年 / 参赛 / 马拉松赛 / 人数 / 报名 / 恢复
多地公布中考改革方案强化综合素质评价,评价 / 素质 / 综合 / 强化 / 改革方案 / 中考 / 公布
央行宣布下调存款准备金率释放长期流动性,流动性 / 长期 / 释放 / 准备金率 / 存款 / 下调 / 宣布 / 央行
研究团队提出高效文本检索算法降低推理成本,成本 / 推理 / 降低 / 算法 / 文本检索 / 高效 / 提出 / 团队
电影节公布入围名单多部青年导演作品亮相,亮相 / 作品 / 导演 / 青年 / 名单 / 入围 / 电影节 / 公布
考研报名人数回落高校优化招生专业结构,结构 / 招生 / 优化 / 回落 / 考研 / 人数 / 报名 / 专业
智能汽车搭载激光雷达辅助驾驶功能升级,升级 / 功能 / 驾驶 / 辅助 / 激光雷达 / 搭载 / 汽车 / 智能
